"Index","ID","Query","SmilesRan","Error","Exp_-Log10(mol/L)","Pred_Hierarchical clustering_-Log10(mol/L)","Pred_Single model_-Log10(mol/L)","Pred_Group contribution_-Log10(mol/L)","Pred_Nearest neighbor_-Log10(mol/L)","Pred_Consensus_-Log10(mol/L)"
"61","C_QOCMZEOVWQAOFT-YDCNANBYSA-N","CC[C@H]([C@H](C(O)=O)NC(N[C@@H]1C(N[C@H](C(N[C@H](C(N([C@H](C(N[C@H](C(NCCCC1)=O)CC2=CC=CC=C2)=O)CC3=CNC4=CC=CC=C43)C)=O)CC(C)C)=O)C(C)C)=O)=O)C","O=C(NC1C(=O)NC(C(=O)NC(C(=O)N(C)C(C(=O)NC(C(=O)NCCCC1)CC=2C=CC=CC2)CC3=CNC=4C=CC=CC43)CC(C)C)C(C)C)NC(C(=O)O)C(C)CC","","N/A","5.14","5.65","N/A","4.28","5.03"
"62","C_CLAPAZQQSRVIAI-IRIVFKDGSA-N","CC[C@H]([C@H](C(O)=O)NC(N[C@@H]1C(N[C@H](C(N[C@H](C(N([C@H](C(N[C@H](C(NCCCC1)=O)CC2=CC=CC=C2)=O)CC3=CNC4=CC=CC=C43)C)=O)CC(C)C)=O)[C@H](CC)C)=O)=O)C","O=C(NC1C(=O)NC(C(=O)NC(C(=O)N(C)C(C(=O)NC(C(=O)NCCCC1)CC=2C=CC=CC2)CC3=CNC=4C=CC=CC43)CC(C)C)C(C)CC)NC(C(=O)O)C(C)CC","","N/A","5.29","5.83","N/A","4.28","5.13"
"63","C_HQMATMGVGJKSPD-MMHNDARSSA-N","CC[C@H]([C@H](C(O)=O)NC(N[C@@H]1C(N[C@H](C(N[C@H](C(N([C@@H](C(N[C@H](C(NCCCC1)=O)CC2=CC=CC=C2)=O)CC(C3=C(NC([H])=O)C=CC=C3)=O)C)=O)CC(C)C)=O)C(C)C)=O)=O)C","[H]C(=O)NC=1C=CC=CC1C(=O)CC2C(=O)NC(C(=O)NCCCCC(NC(=O)NC(C(=O)O)C(C)CC)C(=O)NC(C(=O)NC(C(=O)N2C)CC(C)C)C(C)C)CC=3C=CC=CC3","","N/A","4.36","4.59","N/A","4.29","4.41"
"64","C_OGTUEIHKAQMBTH-JOEVVLMGSA-N","O=C(NC(C(O)C)C(NC(C(C)OC1=O)C(NC(C(C)O)C(NC(C(N/C(C(NC(C(NCC(N(C(C(NC1CCC(N)=O)=O)C(C)OC2C(O)C(O)C(O)C(CO)O2)C)=O)=O)CCC(N)=O)=O)=C\C)=O)CC3=CC=C(O)C=C3)=O)=O)=O)C(O)C(O)CCCCCCCCCCCCC","O=C1NC(C(=O)NCC(=O)N(C)C(C(=O)NC(C(=O)OC(C)C(NC(=O)C(NC(=O)C(O)C(O)CCCCCCCCCCCCC)C(O)C)C(=O)NC(C(=O)NC(C(=O)NC1=CC)CC2=CC=C(O)C=C2)C(O)C)CCC(=O)N)C(OC3OC(CO)C(O)C(O)C3O)C)CCC(=O)N","","N/A","N/A","N/A","N/A","4.11","N/A"
"65","C_RGZSNQSMWRPTNL-UHFFFAOYSA-N","O=C(N1C(C(NC(C(NCC(NC(CC(C)C)C2=O)=O)=O)CC3=CNC4=CC=CC=C43)=O)CCC1)C(NC(CNC(C(N2)CC5=CN=CN5)=O)=O)CC6=CNC7=CC=CC=C76","O=C1NC(C(=O)N2CCCC2C(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC1)CC3=CN=CN3)CC(C)C)CC4=CNC=5C=CC=CC54)CC6=CNC=7C=CC=CC76","","N/A","5.15","4.37","N/A","4.57","4.70"
"66","C_CJBURLKHSGYKKJ-LOEFFASASA-N","O=C(N/C(C(N[C@@H](C1=O)C)=O)=C/C)CC[C@H](C(O)=O)NC([C@@H](C)[C@H](/C=C/C(C)=C/[C@H](C)[C@@H](OC)CC2=CC=CC=C2)NC([C@H](CCCNC(N)=N)NC(C[C@H](C(O)=O)NC([C@@H](N1)C[C@@H](C)CC)=O)=O)=O)=O","O=C(O)C1NC(=O)C(NC(=O)C(NC(=O)C(=CC)NC(=O)CCC(NC(=O)C(C)C(C=CC(=CC(C)C(OC)CC=2C=CC=CC2)C)NC(=O)C(NC(=O)C1)CCCNC(=N)N)C(=O)O)C)CC(C)CC","","N/A","3.37","4.42","N/A","4.11","3.97"
"67","C_RZFSXQCTAPBBLA-CNENNZGJSA-N","O=C(CNC1=O)N[C@@H](CCC(N)=O)C(N[C@@H](CC2=CC=CC=C2)C(NCC(N[C@@H](CO)C3=NC(C(N[C@@H](CC(N)=O)C4=NC(C(N[C@@H](CO)C(N[C@@H](C(C)C)C(N[C@@H](CO)C(N[C@@H](CO)C(NCC(N[C@@H](CC(O)=O)C(N[C@@H](CC5=CC=C(O)C=C5)C(N[C@@H](CC6=CNC7=C6C=CC=C7)C(N[C@@H](CO)C(N[C@@H]([C@@H](C)O)C(N[C@@H](CC8=CC=CC=C8)C(N[C@@H](CC(N)=O)C(N[C@@H](CC(C)C)C(NCC(N9[C@@H](CCC9)C(N[C@@H](CC(C)C)C%10=NC1=CS%10)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=CS4)=O)=CS3)=O)=O)=O","O=C(O)CC1NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C=2N=C(SC2)C(NC(=O)C=3N=C(SC3)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)CNC(=O)C=4N=C(SC4)C(NC(=O)C5N(C(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)CC6=CC=C(O)C=C6)CC7=CNC=8C=CC=CC87)CO)C(O)C)CC=9C=CC=CC9)CC(=O)N)CC(C)C)CCC5)CC(C)C)CCC(=O)N)CC=%10C=CC=CC%10)CO)CC(=O)N)CO)C(C)C)CO)CO","","N/A","N/A","N/A","N/A","4.31","N/A"
"68","C_GFHJBYMOXXILNJ-UHFFFAOYSA-N","O=C(C(C)NC(C(CC1=CNC2=CC=CC=C12)N3)=O)N4C(C(NC(C(NC(C(C)C)C(NC(CC5=CNC6=CC=CC=C56)C(NC(CC(C)C)C(N7C(C3=O)CCC7)=O)=O)=O)=O)CC8=CNC9=CC=CC=C98)=O)CCC4","O=C1NC(C(=O)N2CCCC2C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N3CCCC3C(=O)NC1CC4=CNC=5C=CC=CC54)CC(C)C)CC6=CNC=7C=CC=CC76)C(C)C)CC8=CNC=9C=CC=CC98)C","","N/A","6.90","6.43","N/A","4.73","6.02"
"69","C_DECBPJPIDHVROG-LEKXQQIESA-N","O=C([C@@H](NC(C1=CSC([C@@H](C(C)C)NC([C@@H](C(C)C)NC(C2=CSC([C@H](NC(CNC([C@H](NC([C@@H]([C@H](C)OC/C=C(C)/C)NC([C@@H](CC(N)=O)NC([C@@H](CO)NC(C3=CSC([C@@H](NC([C@H](NC([C@@H](CCCCN)N4)=O)CC5=CC=C(O)C=C5)=O)C)=N3)=O)=O)=O)=O)CC6=CNC7=C6C=CC=C7)=O)=O)CC(O)=O)=N2)=O)=O)=N1)=O)CC8=CNC9=C8C=CC=C9)NCC(N[C@@H](C4=O)CC(O)=O)=O","O=C(O)CC1NC(=O)CNC(=O)C(NC(=O)C=2N=C(SC2)C(NC(=O)C(NC(=O)C=3N=C(SC3)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C=4N=C(SC4)C(NC(=O)C(NC(=O)C(NC1=O)CCCCN)CC5=CC=C(O)C=C5)C)CO)CC(=O)N)C(OCC=C(C)C)C)CC6=CNC=7C=CC=CC76)CC(=O)O)C(C)C)C(C)C)CC8=CNC=9C=CC=CC98","","N/A","N/A","N/A","N/A","4.31","N/A"
"70","C_FAFNVISAZDFOJC-RYWAYVEBSA-N","CCCCCCC[C@H]([C@@H](C(=O)N[C@@H](CO)C(=O)N(C)[C@@H](C(C)C)C(=O)N[C@@H](CCC1=CC=C(C=C1)O)C(=O)O)O)N","O=C(O)C(NC(=O)C(N(C(=O)C(NC(=O)C(O)C(N)CCCCCCC)CO)C)C(C)C)CCC1=CC=C(O)C=C1","","N/A","2.87","4.36","4.04","4.11","3.84"
"71","NOCAS_1019033","CC[C@H](C)C1C(=O)NCCCC[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N(C(C(=O)N1)CCC2=CC=C(C=C2)O)C)CCC3=CC=C(C=C3)O)C(C)C)NC(=O)N[C@@H](CCCN=C(N)N)C(=O)O","[H]C(NC(=O)NC1([H])C(=O)NC([H])(C(=O)NC([H])(C(=O)N(C)C([H])(C(=O)NC([H])(C(=O)NCCCC1)C(C)CC)CCC2=CC=C(O)C=C2)CCC3=CC=C(O)C=C3)C(C)C)(C(=O)O)CCCN=C(N)N","","N/A","4.58","5.76","N/A","4.11","4.82"
"72","C_KWDLKNNQGMAHJR-HBWVXJRASA-N","CC[C@H](C)[C@H]1C(=O)NCCCC[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N1)CCC2=CC=C(C=C2)O)C)CCC3=CC=C(C=C3)O)C(C)C)NC(=O)N[C@@H](CC4=CC=C(C=C4)O)C(=O)O","O=C(O)C(NC(=O)NC1C(=O)NC(C(=O)NC(C(=O)N(C)C(C(=O)NC(C(=O)NCCCC1)C(C)CC)CCC2=CC=C(O)C=C2)CCC3=CC=C(O)C=C3)C(C)C)CC4=CC=C(O)C=C4","","N/A","5.65","6.21","N/A","4.11","5.32"
"73","C_MPCIPLGLKBYIIR-JOROZROBSA-N","CC[C@H]([C@H]1C(O[C@@H](C)[C@H](NC([C@@H](NC(C(OC)COS(=O)(O)=O)=O)CCC2=CC=C(O)C=C2)=O)C(N[C@@H](CCC3=CC=C(O)C=C3)C(N[C@H]4CC[C@@H](O)N([C@H]([C@@H](CC)C)C(N(C)[C@@H](CC5=CC=C(OC)C=C5)C(N1)=O)=O)C4=O)=O)=O)=O)C","O=C1OC(C)C(NC(=O)C(NC(=O)C(OC)COS(=O)(=O)O)CCC2=CC=C(O)C=C2)C(=O)NC(C(=O)NC3C(=O)N(C(O)CC3)C(C(=O)N(C)C(C(=O)NC1C(C)CC)CC4=CC=C(OC)C=C4)C(C)CC)CCC5=CC=C(O)C=C5","","N/A","N/A","N/A","N/A","4.11","N/A"
"74","C_NLQWQLCUSBPPRU-QSYYJPTJSA-N","CC[C@@H]([C@H]1C(O[C@@H](C)[C@H](NC([C@H](NC([C@@H](OC)COS(=O)(O)=O)=O)CCC2=CC=C(O)C=C2)=O)C(N[C@@H](CCC3=CC(C)=C(O)C=C3)C(N[C@H]4CC[C@@H](O)[N@@]([C@H]([C@@H](CC)C)C(N(C)[C@@H](CC5=CC=C(OC)C=C5)C(N1)=O)=O)C4=O)=O)=O)=O)C","O=C1OC(C)C(NC(=O)C(NC(=O)C(OC)COS(=O)(=O)O)CCC2=CC=C(O)C=C2)C(=O)NC(C(=O)NC3C(=O)N(C(O)CC3)C(C(=O)N(C)C(C(=O)NC1C(C)CC)CC4=CC=C(OC)C=C4)C(C)CC)CCC5=CC=C(O)C(=C5)C","","N/A","N/A","N/A","N/A","4.11","N/A"
"75","172548-91-3","CC[C@@H]([C@H]1C(O[C@@H](C)[C@H](NC([C@@H](NC(C(NC([C@@H](O)CO)=O)CCC2=CC=C(O)C=C2)=O)CCC(N)=O)=O)C(N[C@@H](CC(C)C)C(N[C@H]3CC[C@@H](O)N([C@H]([C@@H](O)C)C(N(C)[C@@H](CC4=CC=C(O)C=C4)C(N1)=O)=O)C3=O)=O)=O)=O)C","[H]C12NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(O)CO)CCC3=CC=C(O)C=C3)CCC(=O)N)C([H])(OC(=O)C([H])(NC(=O)C([H])(N(C(=O)C([H])(N(C1=O)C(O)CC2)C(O)C)C)CC4=CC=C(O)C=C4)C(C)CC)C)CC(C)C","","N/A","3.97","3.94","N/A","4.11","4.01"
"76","C_YEJXJFKDCRKSRQ-LBHOYRLISA-N","CC(N[C@H](C(NCC(N[C@@H](CC(N)=O)C(N[C@@H]([C@@H](C)OC(C[C@H](NC1=O)C(N[C@@H](CC2=CNC3=C2C=CC=C3)C(N[C@@H](CCC(OC)=O)C(N[C@@H]4C(N[C@@H](CC5=CC=C(O)C=C5)C(O)=O)=O)=O)=O)=O)=O)C(N[C@H](C(N[C@@H](CCCCNC(CC4)=O)C(N[C@@H](CC6=CC=C(O)C=C6)C(N7CCC[C@H]7C(N[C@H]1CO)=O)=O)=O)=O)CCSC)=O)=O)=O)=O)CC8=CC=C(O)C=C8)=O","O=C(O)C(NC(=O)C1NC(=O)C(NC(=O)C(NC(=O)C2NC(=O)C(NC(=O)C3N(C(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(NC(=O)C)CC4=CC=C(O)C=C4)CC(=O)N)C(OC(=O)C2)C)CCSC)CCCCNC(=O)CC1)CC5=CC=C(O)C=C5)CCC3)CO)CC6=CNC=7C=CC=CC76)CCC(=O)OC)CC8=CC=C(O)C=C8","","N/A","N/A","N/A","N/A","4.31","N/A"
"77","C_BNCSFXKJMAWFSD-FBBTTXGWSA-N","CC(N[C@H](C(N[C@H](C(N[C@@H]([C@@H](C)OC(C[C@H](NC1=O)C(N[C@@H](CC2=CC=CC=C2)C(N[C@@H](CCC(OC)=O)C(N[C@H](C(N[C@@H](CC3=CC=CC=C3)C(O)=O)=O)CC(NCCCC[C@@H](C(N[C@@H](CC4=CC=C(O)C=C4)C(N5CCC[C@H]5C(N[C@H]1CO)=O)=O)=O)NC6=O)=O)=O)=O)=O)=O)C(N[C@H]6CC7=CC=C(O)C=C7)=O)=O)CO)=O)CC8=CC=CC=C8)=O","O=C(O)C(NC(=O)C1NC(=O)C(NC(=O)C(NC(=O)C2NC(=O)C(NC(=O)C3N(C(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C)CC=4C=CC=CC4)CO)C(OC(=O)C2)C)CC5=CC=C(O)C=C5)CCCCNC(=O)C1)CC6=CC=C(O)C=C6)CCC3)CO)CC=7C=CC=CC7)CCC(=O)OC)CC=8C=CC=CC8","","N/A","N/A","N/A","N/A","4.31","N/A"
"78","C_BFGWTGFCCHCPDG-FBBTTXGWSA-N","CC(N[C@H](C(N[C@H](C(N[C@@H]([C@@H](C)O)C(N[C@H](C(N[C@@H](CCCCNC(C[C@H](NC([C@@H](NC([C@@H](NC([C@@H](NC1=O)CC(O)=O)=O)CC2=CC=CC=C2)=O)CCC(OC)=O)=O)C(N[C@@H](CC3=CC=CC=C3)C(O)=O)=O)=O)C(N[C@@H](CC4=CC=C(O)C=C4)C(N5CCC[C@H]5C(N[C@H]1CO)=O)=O)=O)=O)CC6=CC=C(O)C=C6)=O)=O)CO)=O)CC7=CC=CC=C7)=O","O=C(O)CC1NC(=O)C(NC(=O)C2N(C(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C)CC=3C=CC=CC3)CO)C(O)C)CC4=CC=C(O)C=C4)CCCCNC(=O)CC(NC(=O)C(NC(=O)C(NC1=O)CC=5C=CC=CC5)CCC(=O)OC)C(=O)NC(C(=O)O)CC=6C=CC=CC6)CC7=CC=C(O)C=C7)CCC2)CO","","N/A","N/A","N/A","N/A","4.31","N/A"
"79","C_QYOGCHNVZHLFTR-RYWAYVEBSA-N","CC(C)[C@@H](C(=O)N[C@@H](CCC1=CC=C(C=C1)O)C(=O)O)N(C)C(=O)[C@H](CO)NC(=O)[C@H]([C@@H](CCCCCCCCl)N)O","O=C(O)C(NC(=O)C(N(C(=O)C(NC(=O)C(O)C(N)CCCCCCCCl)CO)C)C(C)C)CCC1=CC=C(O)C=C1","","N/A","3.75","4.32","4.04","4.11","4.06"
"80","C_NDDICYYHCIGFPY-OOXANGRUSA-N","CC([C@H](N(C([C@@H](NC([C@@H](O)[C@H](N)CCCCCCC(Cl)Cl)=O)CO)=O)C)C(N[C@H](C(O)=O)CCC1=CC=C(O)C=C1)=O)C","O=C(O)C(NC(=O)C(N(C(=O)C(NC(=O)C(O)C(N)CCCCCCC(Cl)Cl)CO)C)C(C)C)CCC1=CC=C(O)C=C1","","N/A","3.94","4.57","4.14","4.11","4.19"
"81","C_BHCCHKMYTWNSMQ-UHFFFAOYSA-N","C=CC(C)(C)NC(CC1=CC=CC=C1)C(NC(C2=NC(C(OC)=O)=CS2)C(C)CC)=O","O=C(OC)C=1N=C(SC1)C(NC(=O)C(NC(C=C)(C)C)CC=2C=CC=CC2)C(C)CC","","N/A","4.77","4.74","6.57","5.47","5.39"
"82","C_BSKBLBJGHGFEGG-KVBLEGFGSA-N","C[C@H]1C(N[C@@H](CC2=CC=CC=C2)C(NCCCC[C@@H](NC(N[C@@H](C(O)=O)CCC/N=C(N)\N)=O)C(N[C@@H](C(C)C)C(NC(CCC3=CC(C)=C(O)C=C3)C(N1C)=O)=O)=O)=O)=O","O=C(O)C(NC(=O)NC1C(=O)NC(C(=O)NC(C(=O)N(C)C(C(=O)NC(C(=O)NCCCC1)CC=2C=CC=CC2)C)CCC3=CC=C(O)C(=C3)C)C(C)C)CCCN=C(N)N","","N/A","4.03","5.11","N/A","4.11","4.42"
"83","226416-60-0","C[C@H]1C(N[C@@H](CC2=CC=CC=C2)C(NCCCC[C@@H](NC(N[C@@H](C(O)=O)CCC/N=C(N)\N)=O)C(N[C@@H]([C@H](C)CC)C(NC(CCC3=CC=C(O)C=C3)C(N1C)=O)=O)=O)=O)=O","[H]C1(NC(=O)C([H])(NC(=O)C(NC(=O)NC(C(=O)O)CCCNC(=N)N)CCCCNC(=O)C(NC(=O)C(N(C1=O)C)C)CC=2C=CC=CC2)C(C)CC)CCC3=CC=C(O)C=C3","","N/A","3.80","4.38","N/A","4.29","4.16"
"84","C_UGFHKRCKPZSIIX-HKDLZGAVSA-N","C[C@H](O1)[C@@H](C(N[C@H](C(N[C@@H]2C([N@]([C@@H](CC2)O)[C@H](C(N([C@@H](C(N[C@@H]([C@@H](CC)C)C1=O)=O)CC3=CC=CC=C3)C)=O)[C@H](C)CC)=O)=O)CCC(C=C4)=CC=C4O)=O)NC([C@@H](COS(O)(=O)=O)OC)=O","O=C1OC(C)C(NC(=O)C(OC)COS(=O)(=O)O)C(=O)NC(C(=O)NC2C(=O)N(C(O)CC2)C(C(=O)N(C)C(C(=O)NC1C(C)CC)CC=3C=CC=CC3)C(C)CC)CCC4=CC=C(O)C=C4","","N/A","N/A","N/A","N/A","4.11","N/A"
"85","C_AQKSWWARSJIVMX-HKDLZGAVSA-N","C[C@H](O1)[C@@H](C(N[C@H](C(N[C@@H]2C([N@]([C@@H](CC2)O)[C@H](C(N([C@@H](C(N[C@@H]([C@@H](CC)C)C1=O)=O)CC3=CC=CC=C3)C)=O)[C@H](C)CC)=O)=O)CCC(C=C4)=CC=C4O)=O)NC([C@@H](CO)OC)=O","O=C1OC(C)C(NC(=O)C(OC)CO)C(=O)NC(C(=O)NC2C(=O)N(C(O)CC2)C(C(=O)N(C)C(C(=O)NC1C(C)CC)CC=3C=CC=CC3)C(C)CC)CCC4=CC=C(O)C=C4","","N/A","4.50","4.61","N/A","4.11","4.41"
"86","C_KCAKUFQSCADGHZ-TXKNDHRYSA-N","C[C@@H]([C@H]1C(NC(CCC2=CC=C(O)C=C2)C(N(C)C(C)C(N[C@@H](CC3=CC=CC=C3)C(NCCCC[C@@H](NC(N[C@H](C(O)=O)CC4=CC=C(O)C=C4)=O)C(N1)=O)=O)=O)=O)=O)CC","O=C(O)C(NC(=O)NC1C(=O)NC(C(=O)NC(C(=O)N(C)C(C(=O)NC(C(=O)NCCCC1)CC=2C=CC=CC2)C)CCC3=CC=C(O)C=C3)C(C)CC)CC4=CC=C(O)C=C4","","N/A","5.09","5.48","N/A","4.11","4.89"
"87","C_BUCFGLPCTVELLO-YNVQRWCBSA-N","O=C1C[C@@H](C(N[C@@H](CC(C)C)C(N[C@H](C(N[C@H](C(N[C@H](C(O)=O)CCCNC(N)=N)=O)CC(NCCCC2)=O)=O)CCC(OC3)=O)=O)=O)NC([C@H]3NC([C@H]4N(CCC4)C([C@H](CC5=CC=CC=C5)NC([C@H]2NC([C@H](CC6=CC=C(O)C=C6)NC([C@@H](NC([C@H](CC7=CNC8=C7C=CC=C8)NC([C@H]9N(C([C@H](C(C)C)NC([C@H](CCC(O)=O)NC([C@](NC(CNC([C@@H](NC([C@](NC([C@@H](N)C)=O)([H])[C@H](O)C)=O)CCC(O)=O)=O)=O)([H])[C@@H](C)O)=O)=O)=O)CCC9)=O)=O)[C@@H](C)O1)=O)=O)=O)=O)=O)=O","[H]C(NC(=O)CNC(=O)C(NC(=O)C([H])(NC(=O)C(N)C)C(O)C)CCC(=O)O)(C(=O)NC(C(=O)NC(C(=O)N1CCCC1C(=O)NC(C(=O)NC2C(=O)NC(C(=O)NC3C(=O)NC(C(=O)N4CCCC4C(=O)NC5C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)O)CCCNC(=N)N)CC(=O)NCCCC3)CCC(=O)OC5)CC(C)C)CC(=O)OC2C)CC=6C=CC=CC6)CC7=CC=C(O)C=C7)CC8=CNC=9C=CC=CC98)C(C)C)CCC(=O)O)C(O)C","","N/A","N/A","N/A","N/A","4.31","N/A"
"88","C_XBTJRTITHOCUBJ-RTESABESSA-N","O=C1C[C@@H](C(N[C@@H](CC(C)C)C(N[C@H](C(N[C@H](C(N[C@H](C(O)=O)CCCNC(N)=N)=O)CC(NCCCC2)=O)=O)CCC(OC3)=O)=O)=O)NC([C@H]3NC([C@H]4N(CCC4)C([C@H](CC5=CC=CC=C5)NC([C@H]2NC([C@H](CC6=CC=C(O)C=C6)NC([C@@H](NC([C@H](CC7=CNC8=C7C=CC=C8)NC([C@H]9N(C([C@H](C(C)C)NC([C@H](CCC(O)=O)NC([C@](NC(CNC([C@@H](NC([C@](N)([H])[C@H](O)C)=O)CCC(O)=O)=O)=O)([H])[C@@H](C)O)=O)=O)=O)CCC9)=O)=O)[C@@H](C)O1)=O)=O)=O)=O)=O)=O","[H]C(N)(C(=O)NC(C(=O)NCC(=O)NC([H])(C(=O)NC(C(=O)NC(C(=O)N1CCCC1C(=O)NC(C(=O)NC2C(=O)NC(C(=O)NC3C(=O)NC(C(=O)N4CCCC4C(=O)NC5C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)O)CCCNC(=N)N)CC(=O)NCCCC3)CCC(=O)OC5)CC(C)C)CC(=O)OC2C)CC=6C=CC=CC6)CC7=CC=C(O)C=C7)CC8=CNC=9C=CC=CC98)C(C)C)CCC(=O)O)C(O)C)CCC(=O)O)C(O)C","","N/A","N/A","N/A","N/A","4.31","N/A"
"89","C_VPBFOEOIIUFLET-JYAURXKXSA-N","O=C1C[C@@H](C(N[C@@H](CC(C)C)C(N[C@H](C(N[C@H](C(N[C@H](C(O)=O)CCCNC(N)=N)=O)CC(NCCCC2)=O)=O)CCC(OC3)=O)=O)=O)NC([C@H]3NC([C@H]4N(CCC4)C([C@H](CC5=CC=CC=C5)NC([C@H]2NC([C@H](CC6=CC=C(O)C=C6)NC([C@@H](NC([C@H](CC7=CNC8=C7C=CC=C8)NC([C@H]9N(C([C@H](C(C)C)NC([C@H](CCC(O)=O)NC([C@](NC(CNC([C@@H](N)CCC(O)=O)=O)=O)([H])[C@@H](C)O)=O)=O)=O)CCC9)=O)=O)[C@@H](C)O1)=O)=O)=O)=O)=O)=O","[H]C(NC(=O)CNC(=O)C(N)CCC(=O)O)(C(=O)NC(C(=O)NC(C(=O)N1CCCC1C(=O)NC(C(=O)NC2C(=O)NC(C(=O)NC3C(=O)NC(C(=O)N4CCCC4C(=O)NC5C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)O)CCCNC(=N)N)CC(=O)NCCCC3)CCC(=O)OC5)CC(C)C)CC(=O)OC2C)CC=6C=CC=CC6)CC7=CC=C(O)C=C7)CC8=CNC=9C=CC=CC98)C(C)C)CCC(=O)O)C(O)C","","N/A","N/A","N/A","N/A","4.31","N/A"
"90","C_NHBPCOSRFMASCI-AJDAMCSJSA-N","O=C1C[C@@H](C(N[C@@H](CC(C)C)C(N[C@H](C(N[C@H](C(N[C@H](C(O)=O)CCCNC(N)=N)=O)CC(NCCCC2)=O)=O)CCC(OC3)=O)=O)=O)NC([C@H]3NC([C@H]4N(CCC4)C([C@H](CC5=CC=CC=C5)NC([C@H]2NC([C@H](CC6=CC=C(O)C=C6)NC([C@@H](NC([C@H](CC7=CNC8=C7C=CC=C8)NC([C@H]9N(C([C@H](C(C)C)NC([C@H](CCC(O)=O)NC([C@](NC(CN)=O)([H])[C@@H](C)O)=O)=O)=O)CCC9)=O)=O)[C@@H](C)O1)=O)=O)=O)=O)=O)=O","[H]C(NC(=O)CN)(C(=O)NC(C(=O)NC(C(=O)N1CCCC1C(=O)NC(C(=O)NC2C(=O)NC(C(=O)NC3C(=O)NC(C(=O)N4CCCC4C(=O)NC5C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)O)CCCNC(=N)N)CC(=O)NCCCC3)CCC(=O)OC5)CC(C)C)CC(=O)OC2C)CC=6C=CC=CC6)CC7=CC=C(O)C=C7)CC8=CNC=9C=CC=CC98)C(C)C)CCC(=O)O)C(O)C","","N/A","N/A","N/A","N/A","4.31","N/A"
"91","C_UXTWYEYETQOGND-KTRRIIGVSA-N","O=C1C[C@@H](C(N[C@@H](CC(C)C)C(N[C@H](C(N[C@H](C(N[C@H](C(O)=O)CCCNC(N)=N)=O)CC(NCCCC2)=O)=O)CCC(OC3)=O)=O)=O)NC([C@H]3NC([C@H]4N(CCC4)C([C@H](CC5=CC=CC=C5)NC([C@H]2NC([C@H](CC6=CC=C(O)C=C6)NC([C@@H](NC([C@H](CC7=CNC8=C7C=CC=C8)NC([C@H]9N(C([C@H](C(C)C)NC([C@H](CCC(O)=O)NC([C@](N)([H])[C@@H](C)O)=O)=O)=O)CCC9)=O)=O)[C@@H](C)O1)=O)=O)=O)=O)=O)=O","[H]C(N)(C(=O)NC(C(=O)NC(C(=O)N1CCCC1C(=O)NC(C(=O)NC2C(=O)NC(C(=O)NC3C(=O)NC(C(=O)N4CCCC4C(=O)NC5C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)O)CCCNC(=N)N)CC(=O)NCCCC3)CCC(=O)OC5)CC(C)C)CC(=O)OC2C)CC=6C=CC=CC6)CC7=CC=C(O)C=C7)CC8=CNC=9C=CC=CC98)C(C)C)CCC(=O)O)C(O)C","","N/A","N/A","N/A","N/A","4.31","N/A"
